product_series,family,subtype,data_source,d_mm,dw_mm,Mmax_Nm,D_mm,l_mm,e_mm,H_mm,A_mm,d1_mm,MA_Nm,Z_count,S_spec,DIN_spec,class_spec,nmax_rpm,pN_N_per_mm2,I_kgm2,weight_kg
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,48,1.86,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,62,48,1.67,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,50,1.89,110,23,5,28,80,66,30,9,M8x20,933,10.9,5209,183,0.002374,1.4
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,52,2.12,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,68,50,1.87,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,55,2.45,115,23,5,28,86,72,30,9,M8x20,933,10.9,4982,192,0.002769,1.4
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,60,3.12,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,75,55,2.33,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,60,3.02,138,25,5,30,100,79,59,10,M10x025,933,10.9,4152,187,0.006467,2.5
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,65,3.8,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,60,3.19,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,80,65,4,141,25,6,31,104,84,59,10,M10x025,933,10.9,4064,199,0.006922,2.5
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,70,4.9,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,65,5.4,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,90,70,6.5,155,30,6,36,114,94,59,10,M10x025,933,10.9,3697,230,0.011917,3.5
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,75,7.8,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,100,70,6,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,75,7.2,170,34,6,40,124,104,59,12,M10x025,933,10.9,3370,201,0.019335,4.7
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,80,8.5,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,110,80,10,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,85,11.7,185,39,7,46,137,114,100,12,M12x30,933,10.9,3097,209,0.030806,6.3
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,90,13.6,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,120,85,11.9,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,90,13.8,197,42,7,49,147,126,100,12,M12x30,933,10.9,2908,210,0.041964,7.4
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,95,15.9,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,125,90,14.4,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,95,16.5,215,42,7,49,152,129,100,12,M12x30,933,10.9,2665,220,0.061151,9.3
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,100,18.7,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,135,95,18.1,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,100,20.6,230,46,8,54,165,139,160,10,M14x040,933,10.9,2491,225,0.087099,11.5
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,110,26,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,140,100,19.6,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,105,22.1,230,46,8,54,172,146,160,12,M14x040,933,10.9,2491,217,0.085262,11.1
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,115,27.6,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,155,110,26.5,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,115,29.5,263,50,8,58,186,159,160,12,M14x040,933,10.9,2179,220,0.161225,15.9
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,125,36.1,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,165,120,37.3,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,125,41.2,290,56,10,66,198,169,250,12,M16x040,933,10.9,1976,226,0.271183,22.2
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,135,49.6,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,175,130,45,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,135,49,300,56,10,66,208,179,250,12,M16x040,933,10.9,1910,230,0.306754,23.3
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,145,58,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,185,140,64,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,145,70,320,71,11,82,222,191,250,16,M16x050,933,10.9,1790,221,0.50392,33.3
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,155,82,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,200,150,80,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,155,87,340,71,13,84,238,206,250,16,M16x050,933,10.9,1685,241,0.636412,36.9
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,165,100,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,220,160,103,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,170,119,370,93,14,107,270,230,490,15,M20x060,933,10.9,1549,212,1.31,51.5
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,180,136,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,240,170,122,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,180,140,405,95,14,109,288,248,490,16,M20x060,933,10.9,1415,217,1.7,63.9
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,200,179,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,260,190,163,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,200,184,430,105,14,119,306,268,490,15,M20x060,933,10.9,1332,208,2.36,77.5
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,220,231,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,280,210,215,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,220,240,460,114,15,129,328,288,490,16,M20x060,933,10.9,1246,204,3.34,94.7
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,240,295,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,300,220,270,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,230,300,485,123,17,140,354,308,820,16,M24x070,933,10.9,1181,215,4.4,112
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,250,363,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,320,240,301,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,250,332,520,125,16,141,380,328,820,18,M24x070,933,10.9,1102,197,5.93,133
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,270,398,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,340,250,390,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,260,427,570,134,17,151,402,349,820,18,M24x070,933,10.9,1005,223,9.35,177
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,280,506,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,350,270,493,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,280,535,580,140,18,158,414,365,820,20,M24x070,933,10.9,988,223,10.4,190
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,290,580,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,360,270,496,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,280,539,590,140,18,158,424,369,820,20,M24x070,933,10.9,971,226,11.06,194
