;;;;;;TAS 3371;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
d (mm);dw  (mm);M max (Nm);D (mm);I (mm);e (mm);H (mm);A (mm);d1 (mm);MA (Nm);Z (Stk.);S;DIN;Klasse;nmax (min-1);pN  (N/mm²);I (kgm²);Gewicht (kg)
;880; 12.135.000   ;1520;400;58;458;1150;1070;2850;36;M36x160;933;10.9;377;173;1245,24;3078
;920; 13.383.000   ;;;;;;;;;;;;;;;
1100;900; 13.045.000   ;;;;;;;;;;;;;;;
;930; 14.023.000   ;1570;430;61;491;1200;1120;2850;40;M36x170;933;10.9;365;166;1496,97;3438
;960; 15.038.000   ;;;;;;;;;;;;;;;
1200;940; 12.902.000   ;;;;;;;;;;;;;;;
;1000; 14.803.000   ;1630;460;66;526;1300;1220;2850;40;M36x180;933;10.9;352;143;1730,72;3566
;1050; 16.493.000   ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
